lsoa11,ah3h,ah3g,ah3e,ah3r,ah3ahah
E01000153,0.264436772,0.946638967,1.222031624,0.145689778,38.93398912
E01000154,-0.403568906,1.246485698,1.136229728,0.174006069,39.88919603
E01000155,-0.668458858,1.204101739,1.049711742,0.251913757,38.04513304
E01000156,-1.206957449,0.341479005,1.169448054,0.995148577,30.92289778
E01000157,-0.841024084,0.224498991,1.169448054,0.629549568,27.20545108
E01000158,-0.334285786,0.771866042,1.125176922,0.592359229,34.59126869
E01000159,-0.406431366,-0.043501949,1.099485641,0.556620523,25.04100374
E01000160,-0.082140703,0.644241049,1.161250786,0.175291726,31.15504315
E01000161,-0.820846439,0.770954512,1.19712378,0.988907748,37.32343454
E01000162,-1.323359203,0.900174139,1.242832647,1.961416889,49.20053435
E01000163,-0.406039054,0.038778226,1.229469107,0.249080284,24.77136334
E01000164,-0.772148949,0.24392299,1.239331084,0.488887149,27.19280103
E01000165,-0.476566868,0.5439427,1.201648787,0.324426262,29.5841068
E01000166,-0.126512339,-0.698709566,0.653711294,0.41463233,18.85495477
E01000167,-0.413095935,-1.070089075,0.601588031,0.630521234,18.36088114
E01000168,-0.303621871,0.003173545,0.686140236,0.457273741,21.46180672
E01000169,-0.636982733,-0.493736656,0.676600233,0.81184178,20.86886667
E01000170,-1.348341541,0.004542409,0.676600233,1.059121472,24.27727035
E01000171,-1.440904081,0.474525279,0.635093835,1.128860532,28.81972653
E01000172,-0.598871111,-0.207585644,0.810839844,0.188406787,18.43202785
E01000173,-0.884715945,0.200511616,0.82846366,0.949338567,26.56780749
E01000174,-0.877609984,0.28230899,0.72934809,1.447775325,31.57025063
E01000175,-0.423511386,0.041744621,0.735730231,0.581317631,22.67277865
E01000176,-0.500895475,0.578015735,1.358011459,0.361588341,31.92194192
E01000177,-1.320683359,0.747608921,1.283071658,0.949840783,36.85869379
E01000178,-1.299483316,0.824502016,1.295512762,0.911340444,37.88195999
E01000179,-0.63743802,0.857088526,1.358011459,0.504179532,36.87093828
E01000180,-0.801466854,0.495188745,1.203968605,0.687436822,30.97803583
E01000181,-2.006112759,1.12986509,1.203968605,1.811089807,51.28904389
E01000182,-1.464437461,0.793297409,1.067270052,0.898950606,34.73095132
E01000183,-0.816921187,0.109519055,1.277773486,0.668270671,27.79854738
E01000184,-0.767558078,0.636685379,1.315206269,0.548520957,32.92718475
E01000185,-0.93620359,0.518489219,1.358011459,0.697318966,32.7630871
E01000186,-1.077793714,0.289865547,0.742170631,0.62752643,23.6753058
E01000187,-0.591165634,0.478111547,0.742170631,0.291054161,24.1449347
E01000188,-0.136858597,-0.631057064,0.677796791,-0.118938382,15.97840683
E01000189,0.144778289,0.175528866,0.648388113,-0.209845057,21.03578346
E01000190,-0.121448526,-0.186918122,0.694822071,0.264183578,19.95822287
E01000191,-0.458074011,0.05190246,0.694822071,0.133983803,19.17370528
E01000192,-1.596242241,0.387339789,0.955607869,0.933584424,28.59544031
E01000193,-1.064956684,0.260011331,0.803595907,1.127015634,28.25083584
